Territorio;Bambini di 0-2 anni iscritti al nido;Competenza alfabetica adeguata;Competenza numerica  adeguata ;Partecipazione culturale fuori casa;Lettura di libri e quotidiani;Competenze digitali di base;Laureati ei titoli terziari
Piemonte;39,8;63,9;60,5;35,1;39,4;49,4;29,5
Valle d'Aosta/Vallée d'Aoste;42;70,1;64;36,2;47,3;47,7;32,5
Liguria;26,3;60;55,8;36,2;39,7;47,1;31,2
Lombardia;39,2;66,7;64,6;41,1;44,1;53,4;35,2
Trentino-Alto Adige/Südtirol;30,6;54,5;57,8;43,2;52,6;52,5;28,5
Veneto;36,4;68;69,1;39,7;41;50,1;32,9
Friuli-Venezia Giulia;32,2;67;66,7;37,2;49,1;49,9;31,6
Emilia-Romagna;49,7;66,1;64,4;38,5;42,1;51,5;32,9
Toscana;39,9;64,2;62;37,6;39,5;48,5;31,3
Umbria;40,5;63;60,6;34,3;33,5;47,4;34,4
Marche;38,6;70,1;64,2;33,1;35,7;48,8;34,8
Lazio;38,6;68;64,4;40,6;36,7;51,5;38,4
Abruzzo;32,5;63,7;55,1;30,9;32,2;45,1;29,1
Molise;42,8;64,3;57,9;29,6;28,2;40,6;30,9
Campania;23,9;64,7;55,2;30,6;21,4;32,5;26,6
Puglia;27,1;53,9;42,3;28;24,4;38,9;22,8
Basilicata;27,5;58,7;50,4;25,5;22,3;35,3;27,8
Calabria;22,8;60,8;51;24,9;22,8;32,2;27,6
Sicilia;27,6;50,6;39,3;24,7;21,9;34,5;21,8
Sardegna;45,7;49,8;38,6;32,6;38;43,3;27
Provincia Autonoma di Bolzano/Bozen;20,8;68;69,1;39,6;52,5;48;23
Provincia Autonoma di Trento;40,4;67;66,7;46,6;52,7;56,8;34,1
Nord;39,3;65,4;62,8;39,1;42,8;51,3;32,9
Nord-ovest;38,3;65,7;64,4;39;42,4;51,7;33,4
Nord-est;40,6;64,5;58,6;39,3;43,3;50,8;32,3
Centro;39,1;54,4;44;38,2;37,2;49,9;35,5
Mezzogiorno;27,5;56,1;46,1;28,2;24,4;36,1;25,1
Sud;25,7;50,8;39,3;28,9;23,7;35,8;26
Isole;31,2;61,5;55,8;26,6;25,9;36,7;22,9
Italia;35,2;61,4;56,4;35,2;35,5;45,9;30,6
