V2;v26;v35;v42;v15;v37;v20;v28;v48
maschio;1;1;1;1;1;1;0;0
maschio;1;1;0;1;0;0;1;0
femmina;1;1;1;1;1;1;0;0
femmina;1;1;1;1;1;1;1;0
maschio;1;1;1;1;0;0;1;0
femmina;1;1;1;1;1;0;0;0
maschio;1;0;1;1;0;0;1;0
maschio;1;1;1;0;0;1;1;1
femmina;1;1;0;1;1;1;0;0
maschio;1;1;1;1;0;0;0;0
maschio;1;1;1;0;0;0;0;0
maschio;1;1;1;1;0;0;0;0
femmina;1;1;1;1;1;1;1;0
femmina;1;1;0;1;1;0;0;0
maschio;1;1;1;1;0;1;0;0
femmina;1;1;1;1;0;0;0;0
femmina;1;1;1;1;1;1;0;0
maschio;1;1;1;1;0;1;1;1
maschio;1;1;1;1;0;0;1;0
maschio;1;1;1;0;0;1;1;0
maschio;1;1;1;1;0;0;0;0
maschio;1;0;1;0;0;0;0;0
maschio;1;1;1;1;0;1;1;0
femmina;1;1;1;1;1;1;0;0
femmina;1;1;1;1;1;1;0;0
maschio;1;1;1;1;1;0;1;1
maschio;1;1;0;1;1;0;0;0
femmina;1;1;0;1;0;0;0;0
maschio;1;1;1;1;1;1;0;0
femmina;0;1;1;1;1;0;0;0
femmina;1;1;1;0;0;1;0;0
maschio;0;0;0;1;0;0;0;0
femmina;1;1;1;1;0;0;0;0
femmina;1;1;1;1;0;0;0;0
maschio;1;1;1;0;0;0;1;0
femmina;0;1;1;1;1;1;0;0
femmina;1;1;1;1;0;0;0;0
femmina;0;0;1;0;0;0;0;0
maschio;1;1;1;1;0;1;0;0
maschio;1;1;1;0;0;0;0;0
femmina;1;1;1;1;1;0;0;0
maschio;1;1;1;1;0;0;1;0
maschio;1;1;1;1;0;1;0;0
maschio;1;1;1;1;1;1;0;0
maschio;1;1;1;1;1;0;0;0
maschio;1;1;1;0;0;0;0;0
maschio;1;1;1;0;0;1;1;0
maschio;1;1;1;1;0;0;0;0
maschio;1;1;1;1;0;0;1;0
femmina;1;1;1;1;1;0;1;1
maschio;1;1;1;1;1;0;1;0
maschio;1;1;0;0;0;0;1;0
maschio;1;1;1;1;0;1;0;0
femmina;1;1;1;1;0;0;0;0
maschio;1;1;1;1;0;0;1;0
femmina;1;1;1;1;1;1;0;0
maschio;1;1;1;0;1;0;0;0
maschio;1;1;1;0;1;0;1;0
maschio;1;0;0;0;0;0;0;0
femmina;1;1;1;1;0;1;0;0
femmina;1;1;0;0;1;1;1;1
femmina;1;1;1;1;0;0;0;0
maschio;1;0;1;1;0;0;0;0
maschio;1;1;1;0;0;0;1;0
femmina;1;0;1;0;1;0;1;0
maschio;1;1;1;1;0;1;0;0
femmina;1;1;1;0;0;1;0;0
maschio;1;0;0;0;0;1;0;0
maschio;1;1;1;1;1;1;1;0
femmina;1;1;1;1;1;1;0;0
maschio;0;0;1;0;0;0;1;0
maschio;1;0;1;0;0;1;0;0
maschio;1;1;1;1;0;1;0;0
maschio;1;0;0;1;0;0;0;0
femmina;1;1;1;1;0;0;0;0
maschio;1;1;0;1;0;1;0;0
femmina;1;0;1;1;0;0;0;0
maschio;1;1;1;1;0;0;0;0
femmina;1;1;1;1;1;0;0;0
femmina;1;0;1;1;1;1;0;0
maschio;1;1;1;0;1;1;0;0
maschio;1;1;1;1;0;0;0;0
femmina;1;1;0;1;1;1;0;1
femmina;1;1;1;1;0;0;0;0
femmina;1;1;1;1;1;0;0;0
maschio;1;1;1;0;1;1;0;0
femmina;1;1;1;1;1;1;0;0
maschio;1;1;1;1;0;0;0;0
femmina;1;1;1;1;0;1;0;0
femmina;1;1;1;0;1;0;1;0
maschio;1;1;0;0;0;0;0;0
femmina;1;1;1;1;0;0;0;0
maschio;1;1;1;1;1;0;0;0
femmina;1;1;1;1;1;1;1;1
femmina;1;1;1;1;1;0;0;0
maschio;1;1;1;1;1;1;0;1
femmina;1;1;1;1;1;1;1;0
maschio;1;1;1;1;0;0;1;1
femmina;1;1;0;1;0;0;0;0
maschio;1;1;1;1;1;1;0;0
maschio;1;0;1;1;0;0;0;0
femmina;1;1;1;1;1;1;0;0
femmina;1;1;0;1;1;1;0;1
femmina;1;1;1;1;1;1;0;0
maschio;1;1;1;1;0;1;0;0
femmina;1;1;1;1;1;0;0;0
maschio;1;0;1;0;0;0;0;0
maschio;1;0;1;0;0;0;0;0
maschio;1;0;1;1;1;1;0;0
femmina;1;1;1;1;0;0;1;0
maschio;1;1;0;0;0;0;1;0
femmina;1;1;1;1;1;0;0;0
femmina;1;1;1;0;0;0;0;0
femmina;1;1;1;1;0;0;0;0
maschio;1;0;0;0;0;0;0;0
maschio;1;1;1;1;1;1;1;0
maschio;0;0;1;1;0;0;0;0
femmina;1;1;1;1;0;1;0;0
femmina;1;0;1;1;1;0;0;0
femmina;1;1;1;1;0;1;0;0
maschio;0;1;0;1;1;1;0;0
maschio;1;0;1;1;0;1;0;0
femmina;1;1;1;1;1;0;0;0
femmina;1;1;1;1;0;1;0;0
maschio;1;1;1;1;0;1;0;0
femmina;1;1;1;1;0;0;0;0
femmina;1;1;1;1;0;0;0;0
maschio;1;1;1;1;1;0;1;1
femmina;1;0;1;1;0;1;0;0
maschio;0;0;1;1;1;0;0;1
femmina;1;0;0;0;0;0;0;0
maschio;1;0;1;0;0;0;1;0
maschio;1;0;0;0;0;0;0;0
maschio;0;1;0;0;0;0;0;0
femmina;1;1;1;1;1;1;0;0
maschio;1;1;1;1;0;0;0;0
femmina;1;1;1;1;1;1;0;0
femmina;1;1;1;1;1;1;0;0
maschio;1;0;1;1;1;0;1;0
femmina;1;1;1;1;0;0;0;0
femmina;1;1;1;1;1;0;1;0
maschio;1;1;1;1;1;0;0;0
maschio;1;1;1;1;0;1;0;0
maschio;1;1;1;1;1;1;0;0
maschio;1;0;1;0;0;0;0;0
femmina;1;0;0;1;0;0;0;0
femmina;1;1;1;0;1;0;0;0
maschio;1;1;1;1;0;0;0;0
