Territorio;Soddisfazione per la propria vita;
Piemonte;50,10;
Valle d'Aosta;56,40;
Liguria;50,50;
Lombardia;48,80;
Trentino-Alto Adige;60,10;
Provincia Autonoma di Bolzano/Bozen;63,30;
Provincia Autonoma di Trento;57,00;
Veneto;48,30;
Friuli-Venezia Giulia;48,20;
Emilia-Romagna;46,50;
Toscana;46,70;
Umbria;45,50;
Marche;45,50;
Lazio;45,20;
Abruzzo;50,50;
Molise;47,60;
Campania;38,70;
Puglia;44,20;
Basilicata;43,50;
Calabria;47,00;
Sicilia;44,50;
Sardegna;49,00;
Nord;49,10;
Nord-ovest;49,40;
Nord-est;48,70;
Centro;45,70;
Mezzogiorno;43,80;
Sud;43,00;
Isole;45,60;
Italia;46,60;
